Gene,GBM_gain,LGG_gain,pval,FDR,freq_diff
AIM1L,39,13,0.0005234457598051231,0.001599737163360468,0.04574196838347782
AIM2,53,27,0.005214213350522526,0.01244549524763943,0.044552099269080395
AIMP2,422,101,2.8232441068338105e-83,3.16772421791733e-81,0.5697943226245112
AIP,8,29,0.00031059942889624453,0.001015364001559382,0.04030256671766106
AIRE,34,15,0.012192530397380595,0.026072536167999684,0.03295937446880843
AIRN,11,2,0.022132997223854867,0.04297018482160886,0.016046234914159442
AJAP1,37,10,8.456282189775842e-05,0.0003463224595747303,0.04779874213836478
AK2,45,13,3.518754807695726e-05,0.00016086654399383383,0.05655277919428863
AK4,44,13,5.6015785800307776e-05,0.0002452609536877616,0.05475097739248682
AK5,43,14,0.00018491556819071815,0.0006473338002536609,0.051062383137854835
AK9,12,2,0.01270460490418217,0.02696025949569137,0.017848036715961246
AKAP12,11,1,0.006234091590507687,0.01442137823571233,0.01793302736698963
AKAP2,45,23,0.01192146354925792,0.025690420373476172,0.03768485466598675
AKAP7,12,1,0.0033433814753536578,0.008472983968420727,0.019734829168791435
AKAP8,179,48,7.498757286235427e-22,6.715345076009758e-21,0.23195648478667347
AKAP8L,178,48,1.3610128752432245e-21,1.1706581535167666e-20,0.23015468298487168
AKAP9,437,141,2.6431249520143764e-69,9.923612632337976e-68,0.5213496515383307
AKNAD1,47,15,6.480578231878923e-05,0.00026989829142084766,0.05638279789223185
AKR1A1,42,14,0.0002858161722003506,0.0009413129987072073,0.04926058133605304
AKR1B1,437,162,3.029168415749397e-59,8.867846251018412e-58,0.4817270100288968
AKR1B10,438,162,9.760653404951121e-60,2.9976583401954182e-58,0.4835288118306987
AKR1C1,16,63,7.304300589320636e-09,4.815451547428328e-08,0.09003909569947306
AKR1C2,16,63,7.304300589320636e-09,4.815451547428328e-08,0.09003909569947306
AKR1C3,16,62,1.2517943130209278e-08,8.099718652713611e-08,0.08815230324664287
AKR1C4,16,61,2.1367889368558416e-08,1.361489022218966e-07,0.08626551079381269
AKR1C7P,15,61,7.910879746643262e-09,5.2130580094378466e-08,0.08806731259561448
AKR1CL1,16,62,1.2517943130209278e-08,8.099718652713611e-08,0.08815230324664287
AKR1D1,436,164,6.833579626137655e-58,1.7161655321962424e-56,0.4761516233214346
