Gene,GBM_gain,LGG_gain,pval,FDR
PABPC5,10,14,0.4112613220538969,0.5119156206408981
PABPN1,9,10,0.8190406480497187,0.8741012260098546
PACRG,12,4,0.07590020996223656,0.12430418246596169
PACRGL,12,5,0.14213395782907973,0.2124793727530479
PACS1,9,27,0.0018712236472700314,0.005047061195169061
PACSIN1,12,9,0.6623100341654395,0.7416726637160965
PACSIN2,13,9,0.5216605164082674,0.6141656973517843
PADI1,40,12,0.00016281785834953142,0.000587082496204865
PADI2,40,12,0.00016281785834953142,0.000587082496204865
PADI3,40,12,0.00016281785834953142,0.000587082496204865
PADI4,39,13,0.0005234457598051231,0.001599737163360468
PADI6,39,13,0.0005234457598051231,0.001599737163360468
PAFAH1B1,9,7,0.803005578017028,0.8612725161162496
PAFAH1B2,9,45,9.399752065897514e-08,5.722151460301941e-07
PAFAH1B3,143,28,1.0661537720783585e-21,9.271278140748574e-21
PAFAH2,38,13,0.000802640619496415,0.0023497186790637737
PAG1,34,42,0.28437681552540267,0.37861445173408664
PAGE2B,7,32,2.3806455585384622e-05,0.0001141524105942868
PAGE3,7,32,2.3806455585384622e-05,0.0001141524105942868
PAGE4,5,11,0.13304201950550706,0.20086710052615916
PAGE5,7,32,2.3806455585384622e-05,0.0001141524105942868
PAIP1,27,10,0.007202344121864641,0.01641974740329154
PAIP2,23,10,0.03391717220291799,0.06171166611866033
PAIP2B,17,6,0.03388878722533728,0.06171166611866033
PAK3,5,12,0.08760451330274163,0.14122419287039223
PAK4,158,32,9.014592015106611e-24,1.1600783451831284e-22
PAK7,179,42,1.663709573845344e-24,2.513640883300742e-23
PALB2,15,6,0.07713921224233394,0.12530845748570807
PALD1,2,2,1.0,1.0
PALLD,10,5,0.30032490974127724,0.3964383839759604
PALM,190,60,9.404185422436334e-20,7.287515824259488e-19
PALM2,43,24,0.03168325689176508,0.05898340795841427
PALM3,179,47,2.8280184962034106e-22,2.7507242082890425e-21
PALMD,47,15,6.480578231878923e-05,0.00026989829142084766
PAM,23,9,0.019296343833463993,0.038618402410842516
PAMR1,12,13,0.8406239988279791,0.8872990732638874
PAN3,5,4,1.0,1.0
PANK1,1,2,0.6161934384448456,0.7006885029578778
PANX1,7,35,4.51176425441407e-06,2.4776456415110812e-05
PANX3,9,56,1.2940112751507417e-10,9.245224229407155e-10
PAOX,2,1,1.0,1.0
PAPD4,25,11,0.027703321755975396,0.05263771332632066
PAPD5,16,10,0.3244660232485618,0.42424087908296193
PAPD7,29,11,0.006019527095492665,0.014211799704466097
PAPL,158,33,2.89818027333748e-23,3.429855897949746e-22
PAPLN,10,4,0.17837098217268166,0.2582201089521239
PAPOLB,422,101,2.8232441068338105e-83,3.16772421791733e-81
PAPPA,44,23,0.0161982394488826,0.03315594385216286
PAPPA2,51,25,0.004171308697109449,0.010236064381240147
PAPSS1,11,6,0.3306822019367589,0.43112989918276284
PAPSS2,0,2,0.23838148519734043,0.3277499903592107
PAQR5,9,8,1.0,1.0
PAQR7,38,13,0.000802640619496415,0.0023497186790637737
PAQR8,11,6,0.3306822019367589,0.43112989918276284
PAQR9,35,4,2.737399775611559e-07,1.6411285361331095e-06
PARD3,7,43,4.3615036311827366e-08,2.721521675355549e-07
PARD3B,15,7,0.13213108532119988,0.20021638980463927
PARD6B,177,42,5.8648936655551866e-24,7.746611527643605e-23
PARG,1,3,0.36316015387059114,0.4646395630285004
PARK2,11,4,0.11739401838838379,0.18121321494056405
PARK7,31,10,0.0013262029808564068,0.0036787802671779677
PARM1,9,4,0.2656173167521872,0.3565782482331588
PARN,16,8,0.1496700762761138,0.2218461513536002
PARP1,48,25,0.010723773553790113,0.023283161953277422
PARP11,63,58,0.84753755629054,0.8937171057696481
PARP14,28,5,5.949475379404536e-05,0.00025311394121217375
PARP16,12,9,0.6623100341654395,0.7416726637160965
PARP2,7,9,0.6198639611490687,0.7039029843884094
PARP3,34,5,2.038369871074249e-06,1.1670697187873836e-05
PARP4,6,3,0.5070428290082912,0.6023866154613178
PARP6,11,7,0.479117078642087,0.5763681742267593
PARP8,26,11,0.019186077946459084,0.038618402410842516
PARP9,27,5,0.00010262147150150756,0.0003977460970464832
PARS2,41,13,0.00021817971695038533,0.0007510022895165911
PART1,24,9,0.01293946193370139,0.027239254180029083
PARVA,7,13,0.17729540650903228,0.2582201089521239
