Gene,GBM_loss,LGG_loss,pval,FDR,freq_diff
MLYCD,54,17,1.2277584726778032e-05,4.374617594062134e-05,0.0652218255991841
MMAA,29,81,3.3007592658265775e-08,1.6391406840081602e-07,0.10057793642699303
MMP12,49,12,2.1252990824413047e-06,8.659138274052964e-06,0.06564677885432603
MMP13,49,13,5.192274458826104e-06,1.9711485195978198e-05,0.06375998640149583
MMP2,47,11,2.3040384876511416e-06,9.309108704006307e-06,0.06392996770355261
MMP20,49,12,2.1252990824413047e-06,8.659138274052964e-06,0.06564677885432603
MMP21,470,135,2.2459959104989138e-91,5.230907064730959e-90,0.5921298657147713
MMP24,9,1,0.02124361667577746,0.04203393173123407,0.014329423763386029
MMP25,22,5,0.0014306095929564912,0.0037649995279243884,0.030205677375488696
MMP28,37,10,8.456282189775842e-05,0.00026642254835321455,0.04779874213836478
MMP7,49,12,2.1252990824413047e-06,8.659138274052964e-06,0.06564677885432603
MMRN1,26,61,4.537956111168808e-05,0.00014780827558971775,0.06824749277579467
MMRN2,463,103,3.3038954033141596e-106,2.1119624148334173e-104,0.6398946115927249
MMS19,462,104,6.802555145154992e-105,3.254394375494213e-103,0.6362060173380928
MMS22L,96,56,0.0015845110479378722,0.004125220963972742,0.06731259561448241
MN1,150,37,2.842766698753851e-19,2.0403268680688173e-18,0.20045894951555332
MNAT1,136,89,0.0020912644817262676,0.005308376992986143,0.07712051674315826
MND1,31,85,2.177690925340004e-08,1.0948217229068787e-07,0.10452150263471018
MNF1,42,16,0.0010391121277294637,0.0027934041486671448,0.04548699643039266
MNS1,85,53,0.010519357313703195,0.022717335475337753,0.05315315315315314
MNT,50,5,1.3325408879603872e-10,7.273775152231446e-10,0.08065612782593914
MOB1B,25,61,2.4581498310210675e-05,8.33739597236362e-05,0.07004929457759647
MOB3B,268,113,7.192846668554513e-21,5.325329849927348e-20,0.26967533571307156
MOB3C,3,176,6.283805643786686e-58,1.3820692295895107e-56,0.3266700662927078
MOCS1,41,16,0.0015409954806354128,0.004016105848387435,0.04368519462859085
MOG,44,21,0.006896717513145844,0.015516323271301013,0.039656637769845314
MOGAT2,50,12,1.2793496152471302e-06,5.422796252890065e-06,0.06744858065612783
MOK,122,86,0.01684292290637315,0.03442372624483503,0.057555668876423605
MON1B,56,18,1.0475023911469495e-05,3.781682508966468e-05,0.06693863674995751
MORC2,157,40,1.5060047292638499e-19,1.0881771545455292e-18,0.20741118476967535
MORF4L1,68,40,0.011032577170914855,0.02365901131498686,0.047050824409314976
MORN4,460,104,1.477764241058803e-103,6.1663817858848165e-102,0.6326024137344892
MOSPD2,10,30,0.0010136500617062875,0.002739663768793064,0.03858575556688765
MOV10,12,178,4.041665616872934e-48,6.664533578119123e-47,0.31422743498215194
MOXD1,114,73,0.003726642692187307,0.008849450920334765,0.06766955634880165
MPC1,123,73,0.0003686085507975058,0.0010808584130548764,0.08388577256501786
MPDZ,242,125,3.2092570658581836e-12,1.932242871475817e-11,0.20018697943226244
MPHOSPH6,55,18,1.6345972823396963e-05,5.690595683732773e-05,0.0651368349481557
MPO,12,2,0.01270460490418217,0.026673455607354936,0.017848036715961246
MPP3,24,8,0.006654477982003281,0.0150185649407532,0.028148903620601736
MPP5,139,101,0.019190065853382097,0.03871517180358661,0.059884412714601376
MPP7,434,76,1.9501128046394649e-106,1.4292248137640195e-104,0.6385857555668877
MPPED1,165,58,8.270202167548136e-15,5.304653158023402e-14,0.18786333503314637
MPRIP,40,5,6.036896649904528e-08,2.9357805592381293e-07,0.06263810980792113
MPZL2,45,10,2.4605670296634736e-06,9.885701502969965e-06,0.0622131565527792
MPZL3,45,10,2.4605670296634736e-06,9.885701502969965e-06,0.0622131565527792
MRAP2,90,51,0.0015070596754015054,0.003951658307537339,0.06593574706782254
MRC1L1,427,77,1.6966252200637418e-101,6.141374471276513e-100,0.6240863505014449
MRC2,15,2,0.0022766524091180577,0.00566223054466415,0.023253442121366652
MRE11A,48,10,5.038721654221701e-07,2.2655395597042323e-06,0.06761856195818461
MRGBP,14,2,0.00407043139450625,0.009573511884808655,0.021451640319564848
MRGPRD,56,16,2.2193101439506244e-06,9.025034375318431e-06,0.07071222165561789
MRGPRF,55,16,3.5627882668940204e-06,1.3937553475333846e-05,0.06891041985381607
MRM1,39,9,1.2574668700026247e-05,4.471985634748917e-05,0.05328913819479858
MROH2A,21,47,0.0006347852333571601,0.0017924330405058757,0.05084140744518102
MROH7,6,175,1.9115745126271304e-53,3.859633377511391e-52,0.3193778684344722
MROH8,9,1,0.02124361667577746,0.04203393173123407,0.014329423763386029
MRPL1,26,64,1.3199373030647631e-05,4.6654348627385584e-05,0.07390787013428524
MRPL14,43,17,0.0012649866907383958,0.0033532080586328185,0.04540200577936427
MRPL16,50,17,7.176461587653643e-05,0.0002280617854235943,0.05801461839197688
MRPL2,44,17,0.0008555989511695811,0.002343983315034725,0.04720380758116607
MRPL21,58,16,8.494998958045604e-07,3.694611301324872e-06,0.07431582525922148
MRPL37,9,175,6.57489999228143e-50,1.1592505596719677e-48,0.3139724630290668
MRPL38,13,2,0.007222109257812128,0.016084584917843408,0.019649838517763047
MRPL45,34,11,0.0007391721636164973,0.002057791742373429,0.04050654428012919
MRPL48,52,13,1.1734686144511066e-06,5.002226312793565e-06,0.06916539180690123
MRPL50,44,24,0.02383154224045243,0.046252897614480155,0.03399626041135475
MRPL51,29,8,0.0006888389931205767,0.001931269009827791,0.03715791262961074
MRPL52,143,53,1.0539874923044792e-11,6.184765667733549e-11,0.15765765765765763
MRPS10,42,16,0.0010391121277294637,0.0027934041486671448,0.04548699643039266
MRPS12,32,206,1.3913618395492217e-42,1.5391043853982626e-41,0.3310215876253612
MRPS15,11,174,2.1746975244085062e-47,3.486478784596006e-46,0.308482066972633
MRPS16,459,90,1.9312113668011571e-112,3.767617811959348e-110,0.6572157062723101
MRPS23,12,2,0.01270460490418217,0.026673455607354936,0.017848036715961246
MRPS31,180,88,1.695406070148508e-09,8.917503496418377e-09,0.15828658847526775
MRPS35,31,10,0.0013262029808564068,0.003503116085532784,0.03698793132755397
MRRF,47,26,0.021132936374262862,0.04203393173123407,0.03562808091109977
MRTO4,31,182,4.640936749163878e-35,3.813793864657537e-34,0.2875403705592385
MS4A1,49,15,2.63055934039684e-05,8.864123466002989e-05,0.05998640149583546
